Date|Value
03/26/2024 14:55:27|13.1
03/26/2024 15:10:27|13.2
03/26/2024 15:25:27|13.2
03/26/2024 15:40:27|13.3
03/26/2024 15:55:27|13.3
03/26/2024 16:10:27|13.4
03/26/2024 16:25:27|13.4
03/26/2024 16:40:27|13.4
03/26/2024 16:55:27|13.5
03/26/2024 17:10:27|13.4
03/26/2024 17:25:26|13.5
03/26/2024 17:40:26|13.4
03/26/2024 17:55:26|13.4
03/26/2024 18:10:26|13.4
03/26/2024 18:25:26|13.4
03/26/2024 18:40:26|13.3
03/26/2024 18:55:26|13.3
03/26/2024 19:10:26|13.3
03/26/2024 19:25:26|13.3
03/26/2024 19:40:26|13.3
03/26/2024 19:55:26|13.2
03/26/2024 20:10:26|13.2
03/26/2024 20:25:26|13.2
03/26/2024 20:40:26|13.1
03/26/2024 20:55:26|13.1
03/26/2024 21:10:26|13
03/26/2024 21:25:26|13.1
03/26/2024 21:40:26|13
03/26/2024 21:55:26|13
03/26/2024 22:10:26|13
03/26/2024 22:25:26|13
03/26/2024 22:40:26|13
03/26/2024 22:55:25|12.9
03/26/2024 23:10:25|12.9
03/26/2024 23:25:25|12.9
03/26/2024 23:40:25|12.8
03/26/2024 23:55:25|12.8
03/27/2024 00:10:25|12.8
03/27/2024 00:25:25|12.8
03/27/2024 00:40:25|12.8
03/27/2024 00:55:25|12.7
03/27/2024 01:10:25|12.7
03/27/2024 01:25:25|12.6
03/27/2024 01:40:25|12.6
03/27/2024 01:55:25|12.6
03/27/2024 02:10:25|12.6
03/27/2024 02:25:25|12.6
03/27/2024 02:40:25|12.6
03/27/2024 02:55:25|12.6
03/27/2024 03:10:25|12.5
03/27/2024 03:25:25|12.5
03/27/2024 03:40:25|12.5
03/27/2024 03:55:25|12.5
03/27/2024 04:10:24|12.5
03/27/2024 04:25:24|12.4
03/27/2024 04:40:24|12.4
03/27/2024 04:55:24|12.4
03/27/2024 05:10:24|12.4
03/27/2024 05:25:24|12.3
03/27/2024 05:40:24|12.3
03/27/2024 05:55:24|12.3
